fbref_date,fbref_time,fbref_comp,fbref_round,fbref_day,fbref_hometeam,fbref_awayteam,fbref_score_fixtures_hometeam_result,fbref_score_fixtures_hometeam_gf,fbref_score_fixtures_hometeam_ga,fbref_score_fixtures_hometeam_poss,fbref_score_fixtures_hometeam_attendance,fbref_score_fixtures_hometeam_captain,fbref_referee,fbref_score_fixtures_awayteam_result,fbref_score_fixtures_awayteam_gf,fbref_score_fixtures_awayteam_ga,fbref_score_fixtures_awayteam_poss,fbref_score_fixtures_awayteam_attendance,fbref_score_fixtures_awayteam_captain,fbref_score_fixtures_awayteam_formation,fbref_score_fixtures_hometeam_formation,fbref_shooting_hometeam_result,fbref_shooting_hometeam_gf,fbref_shooting_hometeam_ga,fbref_shooting_hometeam_gls,fbref_shooting_hometeam_sh,fbref_shooting_hometeam_sot,fbref_shooting_hometeam_sot_percentage,fbref_shooting_hometeam_gsh,fbref_shooting_hometeam_gsot,fbref_shooting_hometeam_pk,fbref_shooting_hometeam_pkatt,fbref_shooting_awayteam_result,fbref_shooting_awayteam_gf,fbref_shooting_awayteam_ga,fbref_shooting_awayteam_gls,fbref_shooting_awayteam_sh,fbref_shooting_awayteam_sot,fbref_shooting_awayteam_sot_percentage,fbref_shooting_awayteam_gsh,fbref_shooting_awayteam_gsot,fbref_shooting_awayteam_pk,fbref_shooting_awayteam_pkatt,fbref_goalkeeping_hometeam_result,fbref_goalkeeping_hometeam_gf,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_saves,fbref_goalkeeping_hometeam_save_percentage,fbref_goalkeeping_hometeam_pkatt,fbref_goalkeeping_hometeam_pka,fbref_goalkeeping_hometeam_pksv,fbref_goalkeeping_hometeam_pkm,fbref_goalkeeping_awayteam_result,fbref_goalkeeping_awayteam_gf,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_sota,fbref_goalkeeping_awayteam_saves,fbref_goalkeeping_awayteam_save_percentage,fbref_goalkeeping_awayteam_pkatt,fbref_goalkeeping_awayteam_pka,fbref_goalkeeping_awayteam_pksv,fbref_goalkeeping_awayteam_pkm,fbref_full_season_format,fbref_shortened_season
2019-08-03,15:00,Premiership,Regular season,Sat,Celtic,St Johnstone,W,7.0,0.0,76.0,58877.0,Scott Brown,Kevin Clancy,L,0.0,7.0,24.0,58877.0,Jason Kerr,5-3-2,4-2-3-1,W,7.0,0.0,7,24.0,11.0,45.8,0.29,0.64,0,0,L,0.0,7.0,0,2.0,0.0,0.0,0.0,,0,0,W,7.0,0.0,0,0.0,0,0.0,,0,0,0,0,L,0.0,7.0,7,7.0,7,11.0,4.0,36.4,0,0,0,0,2019/2020,19/20
2019-08-25,15:00,Premiership,Regular season,Sun,Celtic,Hearts,W,3.0,1.0,61.0,58763.0,Scott Brown,William Collum,L,1.0,3.0,39.0,58763.0,Christophe Berra,4-3-3,4-2-3-1,W,3.0,1.0,3,9.0,5.0,55.6,0.33,0.6,0,0,L,1.0,3.0,1,5.0,3.0,60.0,0.2,0.33,0,1,W,3.0,1.0,1,1.0,1,1.0,0.0,1,0,1,0,L,1.0,3.0,3,3.0,3,5.0,2.0,40.0,0,0,0,0,2019/2020,19/20
2019-09-22,13:00,Premiership,Regular season,Sun,Celtic,Kilmarnock,W,3.0,1.0,66.0,57137.0,Scott Brown,Greg Aitken,L,1.0,3.0,34.0,57137.0,Gary Dicker,4-4-2,4-2-3-1,W,3.0,1.0,3,21.0,11.0,52.4,0.14,0.27,0,0,L,1.0,3.0,1,6.0,3.0,50.0,0.17,0.33,0,1,W,3.0,1.0,1,1.0,1,1.0,0.0,1,0,1,0,L,1.0,3.0,3,3.0,3,11.0,8.0,72.7,0,0,0,0,2019/2020,19/20
2019-10-19,15:00,Premiership,Regular season,Sat,Celtic,Ross County,W,6.0,0.0,62.0,58560.0,Scott Brown,Don Robertson,L,0.0,6.0,38.0,58560.0,Marcus Fraser,4-2-3-1,4-2-3-1,W,6.0,0.0,5,28.0,14.0,50.0,0.18,0.36,0,0,L,0.0,6.0,0,2.0,1.0,50.0,0.0,0.0,0,0,W,6.0,0.0,0,0.0,0,1.0,100.0,0,0,0,0,L,0.0,6.0,6,6.0,6,15.0,9.0,60.0,0,0,0,0,2019/2020,19/20
2019-10-30,19:45,Premiership,Regular season,Wed,Celtic,St Mirren,W,2.0,0.0,67.0,56127.0,Scott Brown,Kevin Clancy,L,0.0,2.0,33.0,56127.0,Stephen McGinn,4-5-1,4-2-3-1,W,2.0,0.0,2,24.0,9.0,37.5,0.08,0.22,0,0,L,0.0,2.0,0,5.0,1.0,20.0,0.0,0.0,0,0,W,2.0,0.0,0,0.0,0,1.0,100.0,0,0,0,0,L,0.0,2.0,2,2.0,2,8.0,6.0,75.0,0,0,0,0,2019/2020,19/20
2019-11-10,15:00,Premiership,Regular season,Sun,Celtic,Motherwell,W,2.0,0.0,58.0,57137.0,Scott Brown,Alan Muir,L,0.0,2.0,42.0,57137.0,Richard Tait,3-5-2,4-2-3-1,W,2.0,0.0,1,16.0,7.0,43.8,0.06,0.14,0,0,L,0.0,2.0,0,5.0,0.0,0.0,0.0,,0,0,W,2.0,0.0,0,0.0,0,0.0,,0,0,0,0,L,0.0,2.0,2,2.0,2,8.0,6.0,75.0,0,0,0,0,2019/2020,19/20
2019-11-23,15:00,Premiership,Regular season,Sat,Celtic,Livingston,W,4.0,0.0,73.0,58247.0,Scott Brown,Andrew Dallas,L,0.0,4.0,27.0,58247.0,Marvin Bartley,4-2-3-1,4-2-3-1,W,4.0,0.0,4,24.0,12.0,50.0,0.17,0.33,0,0,L,0.0,4.0,0,2.0,1.0,50.0,0.0,0.0,0,0,W,4.0,0.0,0,0.0,0,1.0,100.0,0,0,0,0,L,0.0,4.0,4,4.0,4,12.0,8.0,66.7,0,0,0,0,2019/2020,19/20
2019-12-04,19:45,Premiership,Regular season,Wed,Celtic,Hamilton,W,2.0,1.0,67.0,54584.0,Scott Brown,Alan Muir,L,1.0,2.0,33.0,54584.0,Brian Easton,4-5-1,4-2-3-1,W,2.0,1.0,2,22.0,5.0,22.7,0.09,0.4,0,0,L,1.0,2.0,1,9.0,5.0,55.6,0.11,0.2,0,0,W,2.0,1.0,1,1.0,1,4.0,80.0,0,0,0,0,L,1.0,2.0,2,2.0,2,4.0,2.0,50.0,0,0,0,0,2019/2020,19/20
2019-12-15,15:00,Premiership,Regular season,Sun,Celtic,Hibernian,W,2.0,0.0,61.0,57598.0,Scott Brown,John Beaton,L,0.0,2.0,39.0,57598.0,Paul Hanlon,4-4-2,4-2-3-1,W,2.0,0.0,2,21.0,5.0,23.8,0.1,0.4,0,0,L,0.0,2.0,0,4.0,0.0,0.0,0.0,,0,0,W,2.0,0.0,0,0.0,0,0.0,100.0,0,0,0,0,L,0.0,2.0,2,2.0,2,6.0,4.0,66.7,0,0,0,0,2019/2020,19/20
2019-12-21,15:00,Premiership,Regular season,Sat,Celtic,Aberdeen,W,2.0,1.0,59.0,59131.0,Scott Brown,Euan Anderson,L,1.0,2.0,41.0,59131.0,Joe Lewis,4-3-3,4-2-3-1,W,2.0,1.0,2,28.0,11.0,39.3,0.07,0.18,0,0,L,1.0,2.0,1,2.0,1.0,50.0,0.5,1.0,0,0,W,2.0,1.0,1,1.0,1,0.0,0.0,0,0,0,0,L,1.0,2.0,2,2.0,2,11.0,9.0,81.8,0,0,0,0,2019/2020,19/20
2019-12-29,12:30,Premiership,Regular season,Sun,Celtic,Rangers,L,1.0,2.0,57.0,58902.0,Scott Brown,Kevin Clancy,W,2.0,1.0,43.0,58902.0,James Tavernier,4-3-3,4-2-3-1,L,1.0,2.0,1,11.0,5.0,45.5,0.09,0.2,0,1,W,2.0,1.0,2,9.0,5.0,55.6,0.22,0.4,0,0,L,1.0,2.0,2,2.0,2,4.0,66.7,0,0,0,0,W,2.0,1.0,1,1.0,1,2.0,2.0,50.0,1,0,1,0,2019/2020,19/20
2020-01-25,15:00,Premiership,Regular season,Sat,Celtic,Ross County,W,3.0,0.0,69.0,58785.0,Scott Brown,Kevin Clancy,L,0.0,3.0,31.0,58785.0,Marcus Fraser,4-5-1,4-2-3-1,W,3.0,0.0,3,14.0,6.0,42.9,0.14,0.33,1,1,L,0.0,3.0,0,7.0,2.0,28.6,0.0,0.0,0,0,W,3.0,0.0,0,0.0,0,2.0,100.0,0,0,0,0,L,0.0,3.0,3,3.0,3,5.0,3.0,60.0,1,1,0,0,2019/2020,19/20
2020-02-12,19:45,Premiership,Regular season,Wed,Celtic,Hearts,W,5.0,0.0,54.0,57431.0,Scott Brown,William Collum,L,0.0,5.0,46.0,57431.0,Steven Naismith,4-2-3-1,3-4-1-2,W,5.0,0.0,5,22.0,12.0,54.5,0.23,0.42,0,0,L,0.0,5.0,0,5.0,2.0,40.0,0.0,0.0,0,0,W,5.0,0.0,0,0.0,0,2.0,100.0,0,0,0,0,L,0.0,5.0,5,5.0,5,12.0,7.0,58.3,0,0,0,0,2019/2020,19/20
2020-02-23,15:00,Premiership,Regular season,Sun,Celtic,Kilmarnock,W,3.0,1.0,66.0,58883.0,Callum McGregor,Kevin Clancy,L,1.0,3.0,34.0,58883.0,Gary Dicker,3-5-2,3-5-2,W,3.0,1.0,3,30.0,13.0,43.3,0.1,0.23,0,0,L,1.0,3.0,1,3.0,1.0,33.3,0.0,0.0,1,1,W,3.0,1.0,1,1.0,1,0.0,,1,1,0,0,L,1.0,3.0,3,3.0,3,14.0,11.0,78.6,0,0,0,0,2019/2020,19/20
2020-03-07,15:00,Premiership,Regular season,Sat,Celtic,St Mirren,W,5.0,0.0,62.0,58998.0,Scott Brown,Gavin Duncan,L,0.0,5.0,38.0,58998.0,Sam Foley,5-3-2,3-4-1-2,W,5.0,0.0,5,19.0,16.0,84.2,0.21,0.25,1,1,L,0.0,5.0,0,8.0,4.0,50.0,0.0,0.0,0,0,W,5.0,0.0,0,0.0,0,4.0,100.0,0,0,0,0,L,0.0,5.0,5,5.0,5,15.0,11.0,73.3,1,1,0,0,2019/2020,19/20
2019-08-11,10:00,Premiership,Regular season,Sun,Rangers,Hibernian,W,6.0,1.0,64.0,49718.0,James Tavernier,John Beaton,L,1.0,6.0,36.0,49718.0,Paul Hanlon,4-2-3-1,4-3-3,W,6.0,1.0,6,8.0,3.0,37.5,0.75,2.0,0,0,L,1.0,6.0,1,0.0,0.0,,,,0,0,W,6.0,1.0,1,1.0,1,3.0,75.0,0,0,0,0,L,1.0,6.0,6,6.0,6,0.0,0.0,,0,0,0,0,2019/2020,19/20
2019-09-01,12:00,Premiership,Regular season,Sun,Rangers,Celtic,L,0.0,2.0,60.0,49873.0,James Tavernier,Bobby Madden,W,2.0,0.0,40.0,49873.0,Scott Brown,4-2-3-1,4-3-3,L,0.0,2.0,0,9.0,2.0,22.2,0.0,0.0,0,0,W,2.0,0.0,2,13.0,6.0,46.2,0.15,0.33,0,0,L,0.0,2.0,2,2.0,2,4.0,66.7,0,0,0,0,W,2.0,0.0,0,0.0,0,2.0,2.0,100.0,0,0,0,0,2019/2020,19/20
2019-09-14,15:00,Premiership,Regular season,Sat,Rangers,Livingston,W,3.0,1.0,61.0,48793.0,James Tavernier,William Collum,L,1.0,3.0,39.0,48793.0,Marvin Bartley,4-5-1,4-3-3,W,3.0,1.0,3,23.0,10.0,43.5,0.13,0.3,0,0,L,1.0,3.0,1,6.0,2.0,33.3,0.0,0.0,1,1,W,3.0,1.0,1,1.0,1,1.0,100.0,1,1,0,0,L,1.0,3.0,3,3.0,3,10.0,7.0,70.0,0,0,0,0,2019/2020,19/20
