fbref_only_general_stats_date,fbref_only_general_stats_time,fbref_only_general_stats_comp,fbref_only_general_stats_round,fbref_only_general_stats_day,fbref_only_general_stats_hometeam,fbref_only_general_stats_awayteam,fbref_only_general_stats_score_fixtures_hometeam_result,fbref_only_general_stats_score_fixtures_hometeam_gf,fbref_only_general_stats_score_fixtures_hometeam_ga,fbref_only_general_stats_score_fixtures_hometeam_poss,fbref_only_general_stats_score_fixtures_hometeam_attendance,fbref_only_general_stats_score_fixtures_hometeam_captain,fbref_only_general_stats_referee,fbref_only_general_stats_score_fixtures_awayteam_result,fbref_only_general_stats_score_fixtures_awayteam_gf,fbref_only_general_stats_score_fixtures_awayteam_ga,fbref_only_general_stats_score_fixtures_awayteam_poss,fbref_only_general_stats_score_fixtures_awayteam_attendance,fbref_only_general_stats_score_fixtures_awayteam_captain,fbref_only_general_stats_score_fixtures_awayteam_formation,fbref_only_general_stats_score_fixtures_hometeam_formation,fbref_only_general_stats_shooting_hometeam_result,fbref_only_general_stats_shooting_hometeam_gf,fbref_only_general_stats_shooting_hometeam_ga,fbref_only_general_stats_shooting_hometeam_gls,fbref_only_general_stats_shooting_hometeam_sh,fbref_only_general_stats_shooting_hometeam_sot,fbref_only_general_stats_shooting_hometeam_sot_percentage,fbref_only_general_stats_shooting_hometeam_gsh,fbref_only_general_stats_shooting_hometeam_gsot,fbref_only_general_stats_shooting_hometeam_pk,fbref_only_general_stats_shooting_hometeam_pkatt,fbref_only_general_stats_shooting_awayteam_result,fbref_only_general_stats_shooting_awayteam_gf,fbref_only_general_stats_shooting_awayteam_ga,fbref_only_general_stats_shooting_awayteam_gls,fbref_only_general_stats_shooting_awayteam_sh,fbref_only_general_stats_shooting_awayteam_sot,fbref_only_general_stats_shooting_awayteam_sot_percentage,fbref_only_general_stats_shooting_awayteam_gsh,fbref_only_general_stats_shooting_awayteam_gsot,fbref_only_general_stats_shooting_awayteam_pk,fbref_only_general_stats_shooting_awayteam_pkatt,fbref_only_general_stats_goalkeeping_hometeam_result,fbref_only_general_stats_goalkeeping_hometeam_gf,fbref_only_general_stats_goalkeeping_hometeam_ga,fbref_only_general_stats_goalkeeping_hometeam_ga.1,fbref_only_general_stats_goalkeeping_hometeam_ga.2,fbref_only_general_stats_goalkeeping_hometeam_ga.3,fbref_only_general_stats_goalkeeping_hometeam_saves,fbref_only_general_stats_goalkeeping_hometeam_save_percentage,fbref_only_general_stats_goalkeeping_hometeam_pkatt,fbref_only_general_stats_goalkeeping_hometeam_pka,fbref_only_general_stats_goalkeeping_hometeam_pksv,fbref_only_general_stats_goalkeeping_hometeam_pkm,fbref_only_general_stats_goalkeeping_awayteam_result,fbref_only_general_stats_goalkeeping_awayteam_gf,fbref_only_general_stats_goalkeeping_awayteam_ga,fbref_only_general_stats_goalkeeping_awayteam_ga.1,fbref_only_general_stats_goalkeeping_awayteam_ga.2,fbref_only_general_stats_goalkeeping_awayteam_ga.3,fbref_only_general_stats_goalkeeping_awayteam_sota,fbref_only_general_stats_goalkeeping_awayteam_saves,fbref_only_general_stats_goalkeeping_awayteam_save_percentage,fbref_only_general_stats_goalkeeping_awayteam_pkatt,fbref_only_general_stats_goalkeeping_awayteam_pka,fbref_only_general_stats_goalkeeping_awayteam_pksv,fbref_only_general_stats_goalkeeping_awayteam_pkm,fbref_only_general_stats_full_season_format,fbref_only_general_stats_shortened_season
2014-08-16,12:45,Premiership,Regular season,Sat,Celtic,Dundee United,W,6.0,1.0,,44484.0,,Craig Thomson,L,1.0,6.0,,44484.0,,,,W,6.0,1.0,6,,,,,,0,0,L,1.0,6.0,1,,,,,,0,0,W,6.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,L,1.0,6.0,6.0,6.0,6.0,,,,0.0,0.0,0.0,0.0,2014/2015,14/15
2014-09-13,12:45,Premiership,Regular season,Sat,Celtic,Aberdeen,W,2.0,1.0,,43640.0,,Bobby Madden,L,1.0,2.0,,43640.0,,,,W,2.0,1.0,2,,,,,,0,0,L,1.0,2.0,1,,,,,,0,0,W,2.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,L,1.0,2.0,2.0,2.0,2.0,,,,0.0,0.0,0.0,0.0,2014/2015,14/15
2014-09-21,15:00,Premiership,Regular season,Sun,Celtic,Motherwell,D,1.0,1.0,,41719.0,,Brian Colvin,D,1.0,1.0,,41719.0,,,,D,1.0,1.0,1,,,,,,1,1,D,1.0,1.0,1,,,,,,0,0,D,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,D,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,0.0,0.0,2014/2015,14/15
2014-10-05,13:00,Premiership,Regular season,Sun,Celtic,Hamilton,L,0.0,1.0,,42412.0,,Steven McLean,W,1.0,0.0,,42412.0,,,,L,0.0,1.0,0,,,,,,0,0,W,1.0,0.0,1,,,,,,0,0,L,0.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,W,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2014/2015,14/15
2014-10-26,13:00,Premiership,Regular season,Sun,Celtic,Kilmarnock,W,2.0,0.0,,42800.0,,William Collum,L,0.0,2.0,,42800.0,,,,W,2.0,0.0,2,,,,,,0,0,L,0.0,2.0,0,,,,,,0,0,W,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,L,0.0,2.0,2.0,2.0,2.0,,,,0.0,0.0,0.0,0.0,2014/2015,14/15
2014-11-01,15:00,Premiership,Regular season,Sat,Celtic,Inverness CT,W,1.0,0.0,,42553.0,,Craig Thomson,L,0.0,1.0,,42553.0,,,,W,1.0,0.0,1,,,,,,0,0,L,0.0,1.0,0,,,,,,0,0,W,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,L,0.0,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,2014/2015,14/15
2014-11-22,15:00,Premiership,Regular season,Sat,Celtic,Dundee,W,2.0,1.0,,43787.0,,Kevin Clancy,L,1.0,2.0,,43787.0,,,,W,2.0,1.0,2,,,,,,0,0,L,1.0,2.0,1,,,,,,0,0,W,2.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,L,1.0,2.0,2.0,2.0,2.0,,,,0.0,0.0,0.0,0.0,2014/2015,14/15
2014-12-03,19:45,Premiership,Regular season,Wed,Celtic,Partick Thistle,W,1.0,0.0,,40633.0,,Brian Colvin,L,0.0,1.0,,40633.0,,,,W,1.0,0.0,1,,,,,,0,0,L,0.0,1.0,0,,,,,,0,0,W,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,L,0.0,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,2014/2015,14/15
2014-12-14,13:00,Premiership,Regular season,Sun,Celtic,St Mirren,W,4.0,1.0,,44827.0,,Craig Thomson,L,1.0,4.0,,44827.0,,,,W,4.0,1.0,4,,,,,,0,0,L,1.0,4.0,1,,,,,,0,0,W,4.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,L,1.0,4.0,4.0,4.0,4.0,,,,0.0,0.0,0.0,0.0,2014/2015,14/15
2014-12-27,15:00,Premiership,Regular season,Sat,Celtic,Ross County,D,0.0,0.0,,45798.0,,Crawford Allan,D,0.0,0.0,,45798.0,,,,D,0.0,0.0,0,,,,,,0,0,D,0.0,0.0,0,,,,,,0,0,D,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2014/2015,14/15
