football_data_Date,football_data_Time,football_data_HomeTeam,football_data_AwayTeam,football_data_FTHG,football_data_FTAG,football_data_FTR,football_data_HTHG,football_data_HTAG,football_data_HTR,football_data_Referee,football_data_HS,football_data_AS,football_data_HST,football_data_AST,football_data_HF,football_data_AF,football_data_HC,football_data_AC,football_data_HY,football_data_AY,football_data_HR,football_data_AR,football_data_B365H,football_data_B365D,football_data_B365A,football_data_BWH,football_data_BWD,football_data_BWA,football_data_tournament_season
2023-08-05,12:30,Celtic,Ross County,4.0,2.0,H,3.0,0.0,H,N Walsh,18.0,7.0,12.0,2.0,6.0,14.0,4.0,8.0,0.0,4.0,0.0,0.0,1.1,10.0,21.0,1.12,10.0,16.5,23/24
2023-08-05,15:00,Dundee,Motherwell,1.0,1.0,D,0.0,1.0,A,D Dickinson,17.0,13.0,2.0,3.0,12.0,12.0,7.0,12.0,0.0,2.0,0.0,0.0,2.55,3.3,2.75,2.55,3.3,2.65,23/24
2023-08-05,15:00,Livingston,Aberdeen,0.0,0.0,D,0.0,0.0,D,J Beaton,12.0,11.0,2.0,0.0,22.0,13.0,7.0,7.0,3.0,4.0,0.0,0.0,2.8,3.25,2.55,2.85,3.3,2.37,23/24
2023-08-05,15:00,St Johnstone,Hearts,0.0,2.0,A,0.0,0.0,D,S McLean,9.0,16.0,3.0,9.0,14.0,13.0,6.0,9.0,2.0,3.0,0.0,0.0,3.25,3.5,2.2,2.95,3.5,2.25,23/24
2023-08-05,17:15,Kilmarnock,Rangers,1.0,0.0,H,0.0,0.0,D,W Collum,10.0,18.0,3.0,4.0,7.0,10.0,2.0,8.0,0.0,0.0,0.0,0.0,7.0,5.0,1.4,6.25,4.75,1.43,23/24
2023-08-06,15:00,Hibernian,St Mirren,2.0,3.0,A,0.0,2.0,A,E Anderson,14.0,8.0,7.0,4.0,14.0,7.0,2.0,7.0,2.0,2.0,0.0,0.0,1.91,3.4,4.2,1.88,3.5,3.8,23/24
2023-08-12,15:00,Rangers,Livingston,4.0,0.0,H,1.0,0.0,H,D Robertson,21.0,6.0,9.0,2.0,9.0,9.0,5.0,4.0,1.0,1.0,0.0,0.0,1.3,6.0,8.0,1.29,5.5,9.75,23/24
2023-08-12,15:00,Ross County,St Johnstone,2.0,0.0,H,1.0,0.0,H,W Collum,19.0,12.0,8.0,3.0,11.0,14.0,6.0,7.0,2.0,2.0,0.0,0.0,2.05,3.3,3.8,2.05,3.2,3.6,23/24
2023-08-12,15:00,St Mirren,Dundee,2.0,1.0,H,2.0,0.0,H,C Steven,15.0,7.0,2.0,4.0,8.0,8.0,4.0,3.0,2.0,3.0,0.0,0.0,2.0,3.4,3.8,2.05,3.3,3.5,23/24
2023-08-13,12:00,Aberdeen,Celtic,1.0,3.0,A,1.0,2.0,A,K Clancy,11.0,15.0,2.0,10.0,12.0,11.0,9.0,9.0,0.0,2.0,0.0,0.0,7.5,5.5,1.33,8.0,5.25,1.34,23/24
